ID,Name,Price,Tier,Action
4695,"Mist rune",99,trash,REMOVE
6024,"Willow leaves",99,trash,REMOVE
9338,"Emerald bolts",99,trash,REMOVE
434,"Clay",98,trash,REMOVE
4697,"Smoke rune",98,trash,REMOVE
564,"Cosmic rune",97,trash,REMOVE
64,"Maple shortbow (u)",96,trash,REMOVE
1716,"Unblessed symbol",96,trash,REMOVE
1951,"Redberries",96,trash,REMOVE
5525,"Tiara",96,trash,REMOVE
561,"Nature rune",95,trash,REMOVE
1627,"Uncut jade",95,trash,REMOVE
1775,"Molten glass",95,trash,REMOVE
4823,"Adamantite nails",95,trash,REMOVE
361,"Tuna",94,trash,REMOVE
892,"Rune arrow",93,trash,KEPT
2430,"Restore potion(4)",91,trash,REMOVE
1625,"Uncut opal",90,trash,REMOVE
3010,"Energy potion(3)",90,trash,REMOVE
31010,"Headless atlatl dart",90,trash,REMOVE
4698,"Mud rune",89,trash,REMOVE
2309,"Bread",87,trash,REMOVE
1987,"Grapes",86,trash,KEPT
1777,"Bow string",85,trash,KEPT
2116,"Pineapple chunks",85,trash,REMOVE
2142,"Cooked meat",85,trash,REMOVE
5986,"Sweetcorn",85,trash,REMOVE
6034,"Supercompost",85,trash,REMOVE
359,"Raw tuna",83,trash,REMOVE
5312,"Acorn",83,trash,REMOVE
5980,"Calquat fruit",82,trash,REMOVE
24595,"Blighted karambwan",81,trash,REMOVE
4822,"Mithril nails",80,trash,REMOVE
21622,"Volcanic ash",80,trash,REMOVE
113,"Strength potion(4)",79,trash,REMOVE
345,"Raw herring",79,trash,REMOVE
440,"Iron ore",79,trash,REMOVE
821,"Steel dart tip",79,trash,REMOVE
1917,"Beer",79,trash,REMOVE
2864,"Ogre arrow shaft",79,trash,REMOVE
3422,"Olive oil(4)",78,trash,REMOVE
890,"Adamant arrow",76,trash,REMOVE
9736,"Goat horn dust",76,trash,REMOVE
241,"Dragon scale dust",75,trash,REMOVE
562,"Chaos rune",75,trash,REMOVE
869,"Black knife",75,trash,REMOVE
58,"Willow longbow (u)",72,trash,REMOVE
335,"Raw trout",72,trash,REMOVE
47,"Barb bolttips",70,trash,REMOVE
2349,"Bronze bar",70,trash,REMOVE
9075,"Astral rune",70,trash,REMOVE
24615,"Blighted teleport spell sack",70,trash,REMOVE
31004,"Atlatl dart shaft",70,trash,REMOVE
5626,"Adamant arrow(p++)",69,trash,REMOVE
9378,"Steel bolts (unf)",69,trash,REMOVE
7329,"Red firelighter",68,trash,REMOVE
24613,"Blighted entangle sack",68,trash,REMOVE
2003,"Stew",65,trash,REMOVE
816,"Adamant dart(p)",64,trash,REMOVE
5003,"Cave eel",64,trash,REMOVE
1955,"Cooking apple",63,trash,REMOVE
31045,"Bale of flax",63,trash,REMOVE
11875,"Broad bolts",61,trash,REMOVE
331,"Raw salmon",60,trash,REMOVE
1759,"Ball of wool",60,trash,REMOVE
11876,"Unfinished broad bolts",60,trash,REMOVE
329,"Salmon",59,trash,REMOVE
1975,"Chocolate dust",59,trash,REMOVE
319,"Anchovies",58,trash,REMOVE
2118,"Pineapple ring",58,trash,REMOVE
11326,"Caviar",58,trash,REMOVE
127,"Restore potion(3)",57,trash,REMOVE
5297,"Irit seed",57,trash,REMOVE
5970,"Curry leaf",57,trash,REMOVE
7331,"Blue firelighter",57,trash,REMOVE
9188,"Topaz bolt tips",57,trash,REMOVE
10327,"White firelighter",57,trash,REMOVE
1985,"Cheese",55,trash,REMOVE
3138,"Potato cactus",55,trash,REMOVE
592,"Ashes",54,trash,REMOVE
845,"Oak longbow",52,trash,REMOVE
1927,"Bucket of milk",52,trash,REMOVE
115,"Strength potion(3)",51,trash,REMOVE
5311,"Wildblood seed",50,trash,REMOVE
7076,"Uncooked egg",50,trash,REMOVE
9190,"Emerald bolt tips",50,trash,REMOVE
9337,"Sapphire bolts",50,trash,REMOVE
22818,"Fish chunks",50,trash,REMOVE
567,"Unpowered orb",49,trash,REMOVE
5321,"Watermelon seed",34,trash,REMOVE
22795,"Dragonfruit pie",490,low,REMOVE
31912,"Adamant cannonball",488,low,REMOVE
1656,"Sapphire necklace",487,low,REMOVE
8008,"Lumbridge teleport (tablet)",486,low,REMOVE
10810,"Arctic pine logs",481,low,REMOVE
1637,"Sapphire ring",477,low,REMOVE
29116,"Raw sunlight antelope",477,low,REMOVE
205,"Grimy harralander",475,low,REMOVE
855,"Yew longbow",472,low,KEPT
231,"Snape grass",466,low,REMOVE
2317,"Uncooked apple pie",465,low,REMOVE
1675,"Sapphire amulet (u)",453,low,REMOVE
